...1,ADM2_id,date_time_max_wind,vmax_sust,vmax_gust,sust_dur,gust_dur,sid,storm_id,usa_atcf_id,vmax_sust_knots,cyclone_category,year,month,day,adm2_name,adm2_merge_key
16452,2640588B50898058307541,2006-05-12T01:15:00Z,1.38761684295343,2.06754909600061,0,0,2006128N09138,Chanchu-2006,WP022006,2.6973051240065953,Below Tropical Storm,2006,5,12,City of Isabela,City of Isabela
16453,2640588B76140513385915,2006-05-10T22:00:00Z,4.13885216817915,6.16688973058693,0,0,2006128N09138,Chanchu-2006,WP022006,8.045266398593359,Below Tropical Storm,2006,5,10,Compostela Valley,Compostela Valley
16454,2640588B30235147478886,2006-05-11T07:00:00Z,2.79314186226261,4.16178137477129,0,0,2006128N09138,Chanchu-2006,WP022006,5.429420877540552,Below Tropical Storm,2006,5,11,Cotabato,Cotabato
16455,2640588B312406433782,2006-05-11T11:00:00Z,2.38982589327208,3.5608405809754,0,0,2006128N09138,Chanchu-2006,WP022006,4.645439164378,Below Tropical Storm,2006,5,11,Cotabato City,Cotabato City
16456,2640588B4700873759555,2006-05-11T04:45:00Z,3.95807468167433,5.89753127569475,0,0,2006128N09138,Chanchu-2006,WP022006,7.69386388922583,Below Tropical Storm,2006,5,11,Davao del Norte,Davao del Norte
16457,2640588B9806973652018,2006-05-11T05:00:00Z,3.05719422335589,4.55521939280028,0,0,2006128N09138,Chanchu-2006,WP022006,5.942696419128113,Below Tropical Storm,2006,5,11,Davao del Sur,Davao del Sur
16458,2640588B86868332888935,2006-05-10T15:00:00Z,2.10700460189423,3.1394368568224,0,0,2006128N09138,Chanchu-2006,WP022006,4.09567982534608,Below Tropical Storm,2006,5,10,Davao Occidental,Davao Occidental
16459,2640588B31007762864019,2006-05-10T21:45:00Z,4.25360274240722,6.33786808618676,0,0,2006128N09138,Chanchu-2006,WP022006,8.26832315480085,Below Tropical Storm,2006,5,10,Davao Oriental,Davao Oriental
16460,2640588B17428979589921,2006-05-11T13:15:00Z,11.2360819628606,16.7417621246623,0,0,2006128N09138,Chanchu-2006,WP022006,21.84114556268695,Below Tropical Storm,2006,5,11,Dinagat Islands,Dinagat Islands
16461,2640588B94499067384006,2006-05-11T13:15:00Z,21.3600491518287,31.8264732362248,120,120,2006128N09138,Chanchu-2006,WP022006,41.5205179432907,Tropical Storm / Severe Tropical Storm,2006,5,11,Eastern Samar,Eastern Samar
16462,2640588B8298467794963,2006-05-12T15:00:00Z,8.72741929737485,13.0038547530885,0,0,2006128N09138,Chanchu-2006,WP022006,16.964706727009126,Below Tropical Storm,2006,5,12,Guimaras,Guimaras
16463,2640588B2684850326122,2006-05-13T03:15:00Z,6.69196116928222,9.97102214223051,0,0,2006128N09138,Chanchu-2006,WP022006,13.00810179929755,Below Tropical Storm,2006,5,13,Ifugao,Ifugao
16464,2640588B45258001695711,2006-05-13T04:00:00Z,3.86508040349347,5.75896980120527,0,0,2006128N09138,Chanchu-2006,WP022006,7.513097891526747,Below Tropical Storm,2006,5,13,Ilocos Norte,Ilocos Norte
16465,2640588B69318666079956,2006-05-13T04:00:00Z,5.69360046386716,8.48346469116207,0,0,2006128N09138,Chanchu-2006,WP022006,11.06744832568354,Below Tropical Storm,2006,5,13,Ilocos Sur,Ilocos Sur
16466,2640588B17162343229623,2006-05-12T15:00:00Z,10.3382307571564,15.403963828163,0,0,2006128N09138,Chanchu-2006,WP022006,20.095866474990896,Below Tropical Storm,2006,5,12,Iloilo,Iloilo
16467,2640588B52568839586340,2006-05-13T02:30:00Z,5.28340411988744,7.87227213863229,0,0,2006128N09138,Chanchu-2006,WP022006,10.270092264402003,Below Tropical Storm,2006,5,13,Isabela,Isabela
